DateTime,Open,High,Low,Close
2020-08-31 19:00:00,48690,48997,48613,48661
2020-08-31 20:00:00,48699,48894,48698,48886
2020-08-31 21:00:00,48886,49060,48881,49014
2020-08-31 22:00:00,48908,49009,48900,48901
2020-08-31 23:00:00,48900,48939,48888,48893
2020-09-01 00:00:00,48895,49013,48850,48850
2020-09-01 01:00:00,48850,48870,48800,48870
2020-09-01 02:00:00,48869,48871,48869,48871
2020-09-01 03:00:00,48871,49004,48871,48987
2020-09-01 04:00:00,48987,48987,48986,48986
2020-09-01 05:00:00,48986,48987,48986,48986
2020-09-01 06:00:00,48986,48986,48812,48813
2020-09-01 07:00:00,48813,48985,48813,48865
2020-09-01 08:00:00,48984,48984,48706,48707
2020-09-01 09:00:00,48706,48707,48706,48707
2020-09-01 10:00:00,48707,48709,48500,48503
2020-09-01 11:00:00,48681,48681,48511,48634
2020-09-01 12:00:00,48633,48850,48633,48720
2020-09-01 13:00:00,48721,48790,48600,48691
2020-09-01 14:00:00,48691,48865,48691,48864
2020-09-01 15:00:00,48864,49300,48805,49102
2020-09-01 16:00:00,49280,49400,49201,49389
2020-09-01 17:00:00,49350,49399,49301,49399
2020-09-01 18:00:00,49398,49398,49096,49194
2020-09-01 19:00:00,49340,49364,49096,49115
2020-09-01 20:00:00,49205,49260,49021,49257
2020-09-01 21:00:00,49257,49257,49102,49143
2020-09-01 22:00:00,49142,49174,49000,49160
2020-09-01 23:00:00,49086,49550,49085,49549
2020-09-02 00:00:00,49550,49599,49010,49500
2020-09-02 01:00:00,49501,49501,49419,49490
2020-09-02 02:00:00,49489,49490,49428,49485
2020-09-02 03:00:00,49420,49420,49420,49420
2020-09-02 04:00:00,49422,49485,49422,49484
2020-09-02 05:00:00,49484,49490,49484,49489
2020-09-02 06:00:00,49489,49499,49489,49490
2020-09-02 07:00:00,49489,49599,49423,49583
2020-09-02 08:00:00,49583,49583,49433,49433
2020-09-02 09:00:00,49434,49449,49375,49400
2020-09-02 10:00:00,49400,49444,49200,49437
2020-09-02 11:00:00,49437,49444,49201,49240
2020-09-02 12:00:00,49378,49450,49143,49149
2020-09-02 13:00:00,49359,49359,49209,49350
2020-09-02 14:00:00,49333,49351,49063,49074
2020-09-02 15:00:00,49074,49247,49063,49201
2020-09-02 16:00:00,49150,49191,48904,49151
2020-09-02 17:00:00,49150,49150,48909,49001
2020-09-02 18:00:00,49001,49130,48850,48990
2020-09-02 19:00:00,48851,48851,47708,48001
2020-09-02 20:00:00,48001,48599,47903,48361
2020-09-02 21:00:00,48361,48361,47999,48026
2020-09-02 22:00:00,47906,48320,47750,47751
2020-09-02 23:00:00,47751,48009,47750,48009
